house,n_traj,pearson_r,close_mean,close_std,tcp_mean_cm,tcp_std_cm
52,5,0.06952542235847152,42.0,11.260550608207398,5.3032907608806985,1.581880324747618
58,5,0.08634185622073418,52.0,7.874007874011811,4.70010086006678,1.31035179706312
70,5,0.12766120578471624,50.0,9.899494936611665,5.191544036788274,2.822191059232998
47,5,0.16797293263904078,47.6,7.116178749862878,5.549039288029532,2.2612980742148903
94,5,0.34961545856687004,49.6,9.58331884056875,4.403656253610448,2.534765108570488
86,5,0.40914156065075147,50.0,3.521363372331802,4.789590166353695,0.47160378293001315
39,5,0.4267444220392821,49.0,2.756809750418044,5.75782181868383,1.8929179197006978
61,3,0.43334154976141326,50.333333333333336,8.806563209081938,1.8757469826693418,0.4009268037227805
34,5,0.49195912518758267,53.2,6.8527366796047255,4.130852269385076,2.698185787115064
82,5,0.5113984430367579,53.4,5.314132102234569,1.923080131736395,0.735594442508616
8,5,0.5184367182984763,49.6,6.858571279792899,4.683839934093621,2.1414113247797006
84,5,0.5516472310840898,39.2,9.785703858180055,5.411778037433599,2.5671750502453516
23,5,0.5518155431777051,49.4,8.452218643646177,3.715654557043609,4.244078013741064
60,5,0.5849744648679628,39.0,8.87693640846886,6.4225444080786644,1.0261911664343555
95,4,0.6019668872489484,54.25,5.673402858955108,2.870281048206703,0.014468563354461431
75,5,0.6024953713257457,46.4,5.238320341483518,7.7432644699863955,3.1739091889531057
1,5,0.6240995280595861,53.6,6.974238309665077,4.969816391733794,1.2197137960463702
18,4,0.6504290615073206,55.25,3.344772040064913,1.5043324323202696,1.6711192350524522
73,5,0.6624613203685115,59.0,7.483314773547883,0.5731512084499623,0.3028797541461528
10,5,0.6678770892449267,55.4,4.029888335921977,3.2354977540687684,2.695133717401789
27,5,0.7207996113480022,39.8,10.146920715172657,3.223718404098843,0.9754609650135436
31,4,0.7727447170154897,53.0,5.431390245600108,3.200276968179124,3.892525166824829
43,3,0.8773980421644507,54.0,2.449489742783178,4.786522821555587,0.6858402246243921
100,3,0.9840716165284407,41.666666666666664,10.077477638553983,3.4469289161877366,0.6620677036165009
46,5,0.9891740822595624,36.8,9.744742172063866,1.7971719229073209,1.3420620456796828
