sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link5_sensor_4,link5,post_place,1245,1245,1.0,0.001606425702811245
link5_sensor_4,link5,unknown,470,470,1.0,0.0
link5_sensor_5,link5,approach,92,82,0.8913043478260869,0.012195121951219513
link5_sensor_5,link5,pregrasp,574,574,1.0,0.0
link5_sensor_5,link5,grasp_lift,859,859,1.0,0.0
link5_sensor_5,link5,transit,328,328,1.0,0.0
link5_sensor_5,link5,place,397,397,1.0,0.0
link5_sensor_5,link5,post_place,1245,1238,0.9943775100401606,0.0
link5_sensor_5,link5,unknown,470,470,1.0,0.0
link6_sensor_0,link6,approach,92,82,0.8913043478260869,0.012195121951219513
link6_sensor_0,link6,pregrasp,574,574,1.0,0.07665505226480836
link6_sensor_0,link6,grasp_lift,859,859,1.0,0.2270081490104773
link6_sensor_0,link6,transit,328,328,1.0,0.14939024390243902
link6_sensor_0,link6,place,397,397,1.0,0.0
link6_sensor_0,link6,post_place,1245,1245,1.0,0.04819277108433735
link6_sensor_0,link6,unknown,470,470,1.0,0.07021276595744681
link6_sensor_1,link6,approach,92,82,0.8913043478260869,0.0975609756097561
link6_sensor_1,link6,pregrasp,574,574,1.0,0.08188153310104529
link6_sensor_1,link6,grasp_lift,859,859,1.0,0.23864959254947612
link6_sensor_1,link6,transit,328,328,1.0,0.18902439024390244
link6_sensor_1,link6,place,397,397,1.0,0.055415617128463476
link6_sensor_1,link6,post_place,1245,1245,1.0,0.04176706827309237
link6_sensor_1,link6,unknown,470,470,1.0,0.07021276595744681
link6_sensor_2,link6,approach,92,82,0.8913043478260869,0.08536585365853659
link6_sensor_2,link6,pregrasp,574,574,1.0,0.06445993031358885
link6_sensor_2,link6,grasp_lift,859,859,1.0,0.23864959254947612
link6_sensor_2,link6,transit,328,328,1.0,0.18597560975609756
link6_sensor_2,link6,place,397,397,1.0,0.055415617128463476
link6_sensor_2,link6,post_place,1245,1245,1.0,0.01927710843373494
link6_sensor_2,link6,unknown,470,470,1.0,0.0
link6_sensor_3,link6,approach,92,82,0.8913043478260869,0.07317073170731707
link6_sensor_3,link6,pregrasp,574,567,0.9878048780487805,0.012345679012345678
link6_sensor_3,link6,grasp_lift,859,859,1.0,0.12572759022118743
link6_sensor_3,link6,transit,328,328,1.0,0.06402439024390244
link6_sensor_3,link6,place,397,397,1.0,0.042821158690176324
link6_sensor_3,link6,post_place,1245,1245,1.0,0.01285140562248996
link6_sensor_3,link6,unknown,470,470,1.0,0.0
link6_sensor_4,link6,approach,92,82,0.8913043478260869,0.07317073170731707
link6_sensor_4,link6,pregrasp,574,574,1.0,0.020905923344947737
link6_sensor_4,link6,grasp_lift,859,859,1.0,0.12572759022118743
link6_sensor_4,link6,transit,328,327,0.9969512195121951,0.11314984709480122
link6_sensor_4,link6,place,397,387,0.9748110831234257,0.056847545219638244
link6_sensor_4,link6,post_place,1245,1232,0.989558232931727,0.01948051948051948
link6_sensor_4,link6,unknown,470,470,1.0,0.0
link6_sensor_5,link6,approach,92,82,0.8913043478260869,0.14634146341463414
link6_sensor_5,link6,pregrasp,574,574,1.0,0.0627177700348432
link6_sensor_5,link6,grasp_lift,859,859,1.0,0.23864959254947612
link6_sensor_5,link6,transit,328,328,1.0,0.17682926829268292
link6_sensor_5,link6,place,397,397,1.0,0.08564231738035265
link6_sensor_5,link6,post_place,1245,1245,1.0,0.024899598393574297
link6_sensor_5,link6,unknown,470,470,1.0,0.0
link6_sensor_6,link6,approach,92,82,0.8913043478260869,0.0975609756097561
link6_sensor_6,link6,pregrasp,574,574,1.0,0.07491289198606271
