sensor_name,link,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_50m,activation_lt_0_20m,activation_lt_0_10m,activation_lt_0_05m,near_saturation_lt_0_05m,raw_frame_activation_lt_0_50m,raw_frame_activation_lt_0_20m,raw_frame_activation_lt_0_10m,raw_frame_activation_lt_0_05m,mean_min_depth_m,std_min_depth_m,p05_min_depth_m,p50_min_depth_m,p95_min_depth_m,min_depth_m,median_within_traj_std_m,median_frame_to_frame_abs_diff_m,success_activation_lt_0_20m,failure_activation_lt_0_20m,success_minus_failure_activation_lt_0_20m,phase_approach_n_frames,phase_approach_n_valid_frames,phase_approach_valid_frame_ratio,phase_approach_activation_lt_0_20m,phase_pregrasp_n_frames,phase_pregrasp_n_valid_frames,phase_pregrasp_valid_frame_ratio,phase_pregrasp_activation_lt_0_20m,phase_grasp_lift_n_frames,phase_grasp_lift_n_valid_frames,phase_grasp_lift_valid_frame_ratio,phase_grasp_lift_activation_lt_0_20m,phase_transit_n_frames,phase_transit_n_valid_frames,phase_transit_valid_frame_ratio,phase_transit_activation_lt_0_20m,phase_place_n_frames,phase_place_n_valid_frames,phase_place_valid_frame_ratio,phase_place_activation_lt_0_20m,phase_post_place_n_frames,phase_post_place_n_valid_frames,phase_post_place_valid_frame_ratio,phase_post_place_activation_lt_0_20m,phase_unknown_n_frames,phase_unknown_n_valid_frames,phase_unknown_valid_frame_ratio,phase_unknown_activation_lt_0_20m,phase_spread_active_phase_count,suspicious_self_sensing,suspicious_reason
link3_sensor_3,link3,531,530,0.9981167608286252,0.5188679245283019,0.09622641509433963,0.0,0.0,0.0,0.519774011299435,0.09792843691148775,0.0018832391713747645,0.0018832391713747645,0.7757447900074832,0.5000694141192396,0.1316184252500534,0.43382109701633453,1.5137350499629973,0.1316167712211609,0.22469343495657287,0.0010501295328140259,0.09622641509433963,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0821917808219178,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.07228915662650602,66,66,1.0,0.5,1,False,
link3_sensor_4,link3,531,530,0.9981167608286252,0.5188679245283019,0.13773584905660377,0.09811320754716982,0.0,0.0,0.519774011299435,0.1393596986817326,0.09981167608286252,0.0018832391713747645,0.5938533556840893,0.34216653986728146,0.061273593455553055,0.41174429655075073,1.1396932661533354,0.06127302348613739,0.17076060435460105,0.00210021436214447,0.13773584905660377,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.2191780821917808,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.14457831325301204,66,66,1.0,0.5,2,False,
link3_sensor_5,link3,531,530,0.9981167608286252,0.5188679245283019,0.13018867924528302,0.0,0.0,0.0,0.519774011299435,0.1318267419962335,0.0018832391713747645,0.0018832391713747645,0.5853592286835301,0.2996690172738077,0.11495388299226761,0.4122931808233261,0.9785780131816864,0.11495364457368851,0.09540065554116349,0.0006426870822906494,0.13018867924528302,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.2054794520547945,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.12650602409638553,66,66,1.0,0.5,2,False,
link3_sensor_6,link3,531,530,0.9981167608286252,0.5188679245283019,0.1811320754716981,0.11132075471698114,0.0,0.0,0.519774011299435,0.18267419962335216,0.11299435028248588,0.0018832391713747645,0.5176651754890973,0.29818423280143924,0.07024258635938167,0.3639051169157028,0.9178205370903014,0.0702420249581337,0.09633724296276494,0.0016049444675445557,0.1811320754716981,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.3287671232876712,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.23493975903614459,66,66,1.0,0.5,3,False,
link3_sensor_7,link3,531,530,0.9981167608286252,0.7981132075471699,0.0,0.0,0.0,0.0,0.7984934086629002,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.3372248913881914,0.12806216447293553,0.21444393396377565,0.24941398203372955,0.5496277779340744,0.21306034922599792,0.1237610657010228,0.0001107826828956604,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link5_sensor_0,link5,531,530,0.9981167608286252,0.5207547169811321,0.0018867924528301887,0.0018867924528301887,0.0,0.0,0.5216572504708098,0.003766478342749529,0.003766478342749529,0.0018832391713747645,0.6797974545297758,0.3413251089484334,0.2975524827837944,0.42680902779102325,1.1083876252174378,0.06213786453008652,0.11195139792222616,0.0008241832256317139,0.0018867924528301887,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0136986301369863,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link5_sensor_1,link5,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7001647276979572,0.39620845996273485,0.22442362681031228,0.39614441990852356,1.1684301257133485,0.22349926829338074,0.10653304047442902,0.0007646232843399048,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link5_sensor_2,link5,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7195631662067377,0.3890337754097151,0.26801478266716006,0.4167141914367676,1.2352380454540253,0.2656410336494446,0.11462896259445432,0.0009486973285675049,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link5_sensor_3,link5,531,530,0.9981167608286252,0.6792452830188679,0.1660377358490566,0.0,0.0,0.0,0.67984934086629,0.16760828625235405,0.0018832391713747645,0.0018832391713747645,0.6157901688004439,0.4773514359552276,0.19376206547021865,0.35103268921375275,1.3493650615215302,0.16617009043693542,0.2882739584245776,0.0011062920093536377,0.1660377358490566,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.7394957983193278,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,1,False,
link5_sensor_4,link5,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7170944338699556,0.42857240531469265,0.23135168552398683,0.3612488657236099,1.252456146478653,0.22101448476314545,0.10063159042195463,0.0009241849184036255,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link5_sensor_5,link5,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7182294606881322,0.3991800349212089,0.24103238210082054,0.40762344002723694,1.2011155903339386,0.24011197686195374,0.10337040211684642,0.0009625628590583801,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link6_sensor_0,link6,531,530,0.9981167608286252,0.15283018867924528,0.0,0.0,0.0,0.0,0.1544256120527307,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,1.115149257824106,0.6453815769588253,0.4294297471642494,1.0211910009384155,2.1653056144714355,0.2276439070701599,0.2840484539076571,0.0013928413391113281,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link6_sensor_1,link6,531,530,0.9981167608286252,0.14528301886792452,0.0,0.0,0.0,0.0,0.14689265536723164,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7770445142714483,0.2732875496460137,0.44574164301157,0.7053979635238647,1.3377838134765625,0.30308258533477783,0.15404586222940644,0.002309173345565796,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link6_sensor_2,link6,531,530,0.9981167608286252,0.23962264150943396,0.0,0.0,0.0,0.0,0.24105461393596986,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.7072251790537024,0.2783066989784472,0.3722957164049149,0.6133198440074921,1.2584497451782226,0.3700605630874634,0.206854749348118,0.0016204267740249634,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link6_sensor_3,link6,531,530,0.9981167608286252,0.5188679245283019,0.0,0.0,0.0,0.0,0.519774011299435,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.8262060257904935,0.49502305397492674,0.23606522381305695,0.4203190505504608,1.412085485458374,0.2344396710395813,0.08712670439200007,0.000403478741645813,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
link6_sensor_4,link6,531,530,0.9981167608286252,0.36981132075471695,0.05660377358490566,0.0,0.0,0.0,0.3709981167608286,0.0583804143126177,0.0018832391713747645,0.0018832391713747645,0.6090504482247919,0.25234899488939966,0.13718044832348825,0.5417075157165527,1.041890263557434,0.12373094260692596,0.13470184816025738,0.001423753798007965,0.05660377358490566,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.25210084033613445,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,1,False,
link6_sensor_5,link6,531,530,0.9981167608286252,0.28867924528301886,0.052830188679245285,0.052830188679245285,0.0,0.0,0.2900188323917137,0.054613935969868174,0.054613935969868174,0.0018832391713747645,0.6854685855221074,0.30502298385571625,0.09181396812200548,0.6150725483894348,1.255157047510147,0.0553322471678257,0.2375705084638113,0.0019102692604064941,0.052830188679245285,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.23529411764705882,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,1,False,
link6_sensor_6,link6,531,530,0.9981167608286252,0.1471698113207547,0.0,0.0,0.0,0.0,0.1487758945386064,0.0018832391713747645,0.0018832391713747645,0.0018832391713747645,0.8372019460741079,0.2973346832945685,0.4374248042702675,0.8691674768924713,1.3095135688781738,0.26044148206710815,0.13430577208074826,0.0016854405403137207,0.0,,,12,11,0.9166666666666666,0.0,73,73,1.0,0.0,119,119,1.0,0.0,35,35,1.0,0.0,60,60,1.0,0.0,166,166,1.0,0.0,66,66,1.0,0.0,0,False,
