sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link6_sensor_1,link6,approach,12,11,0.9166666666666666,0.0
link6_sensor_1,link6,pregrasp,73,73,1.0,0.0
link6_sensor_1,link6,grasp_lift,119,119,1.0,0.0
link6_sensor_1,link6,transit,35,35,1.0,0.0
link6_sensor_1,link6,place,60,60,1.0,0.0
link6_sensor_1,link6,post_place,166,166,1.0,0.0
link6_sensor_1,link6,unknown,66,66,1.0,0.0
link6_sensor_2,link6,approach,12,11,0.9166666666666666,0.0
link6_sensor_2,link6,pregrasp,73,73,1.0,0.0
link6_sensor_2,link6,grasp_lift,119,119,1.0,0.0
link6_sensor_2,link6,transit,35,35,1.0,0.0
link6_sensor_2,link6,place,60,60,1.0,0.0
link6_sensor_2,link6,post_place,166,166,1.0,0.0
link6_sensor_2,link6,unknown,66,66,1.0,0.0
link6_sensor_3,link6,approach,12,11,0.9166666666666666,0.0
link6_sensor_3,link6,pregrasp,73,73,1.0,0.0
link6_sensor_3,link6,grasp_lift,119,119,1.0,0.0
link6_sensor_3,link6,transit,35,35,1.0,0.0
link6_sensor_3,link6,place,60,60,1.0,0.0
link6_sensor_3,link6,post_place,166,166,1.0,0.0
link6_sensor_3,link6,unknown,66,66,1.0,0.0
link6_sensor_4,link6,approach,12,11,0.9166666666666666,0.0
link6_sensor_4,link6,pregrasp,73,73,1.0,0.0
link6_sensor_4,link6,grasp_lift,119,119,1.0,0.25210084033613445
link6_sensor_4,link6,transit,35,35,1.0,0.0
link6_sensor_4,link6,place,60,60,1.0,0.0
link6_sensor_4,link6,post_place,166,166,1.0,0.0
link6_sensor_4,link6,unknown,66,66,1.0,0.0
link6_sensor_5,link6,approach,12,11,0.9166666666666666,0.0
link6_sensor_5,link6,pregrasp,73,73,1.0,0.0
link6_sensor_5,link6,grasp_lift,119,119,1.0,0.23529411764705882
link6_sensor_5,link6,transit,35,35,1.0,0.0
link6_sensor_5,link6,place,60,60,1.0,0.0
link6_sensor_5,link6,post_place,166,166,1.0,0.0
link6_sensor_5,link6,unknown,66,66,1.0,0.0
link6_sensor_6,link6,approach,12,11,0.9166666666666666,0.0
link6_sensor_6,link6,pregrasp,73,73,1.0,0.0
link6_sensor_6,link6,grasp_lift,119,119,1.0,0.0
link6_sensor_6,link6,transit,35,35,1.0,0.0
link6_sensor_6,link6,place,60,60,1.0,0.0
link6_sensor_6,link6,post_place,166,166,1.0,0.0
link6_sensor_6,link6,unknown,66,66,1.0,0.0
link6_sensor_7,link6,approach,12,11,0.9166666666666666,0.0
link6_sensor_7,link6,pregrasp,73,73,1.0,0.0
link6_sensor_7,link6,grasp_lift,119,119,1.0,0.0
link6_sensor_7,link6,transit,35,35,1.0,0.0
link6_sensor_7,link6,place,60,60,1.0,0.0
link6_sensor_7,link6,post_place,166,166,1.0,0.0
link6_sensor_7,link6,unknown,66,66,1.0,0.0
