sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link5_sensor_4,link5,transit,559,559,1.0,0.25760286225402507
link5_sensor_4,link5,place,698,698,1.0,0.2979942693409742
link5_sensor_4,link5,post_place,2329,2329,1.0,0.22284242164018891
link5_sensor_4,link5,unknown,871,871,1.0,0.13203214695752008
link5_sensor_5,link5,approach,175,168,0.96,0.16666666666666666
link5_sensor_5,link5,pregrasp,685,680,0.9927007299270073,0.09852941176470588
link5_sensor_5,link5,grasp_lift,1986,1986,1.0,0.21802618328298087
link5_sensor_5,link5,transit,559,559,1.0,0.2146690518783542
link5_sensor_5,link5,place,698,698,1.0,0.17908309455587393
link5_sensor_5,link5,post_place,2329,2329,1.0,0.167453842851009
link5_sensor_5,link5,unknown,871,871,1.0,0.09414466130884042
link6_sensor_0,link6,approach,175,168,0.96,0.30357142857142855
link6_sensor_0,link6,pregrasp,685,680,0.9927007299270073,0.15588235294117647
link6_sensor_0,link6,grasp_lift,1986,1986,1.0,0.29657603222557904
link6_sensor_0,link6,transit,559,559,1.0,0.1771019677996422
link6_sensor_0,link6,place,698,698,1.0,0.2664756446991404
link6_sensor_0,link6,post_place,2329,2329,1.0,0.1704594246457707
link6_sensor_0,link6,unknown,871,871,1.0,0.07577497129735936
link6_sensor_1,link6,approach,175,167,0.9542857142857143,0.31736526946107785
link6_sensor_1,link6,pregrasp,685,680,0.9927007299270073,0.17205882352941176
link6_sensor_1,link6,grasp_lift,1986,1986,1.0,0.3071500503524673
link6_sensor_1,link6,transit,559,559,1.0,0.17173524150268335
link6_sensor_1,link6,place,698,683,0.9785100286532952,0.2840409956076135
link6_sensor_1,link6,post_place,2329,2309,0.991412623443538,0.18319618882633174
link6_sensor_1,link6,unknown,871,871,1.0,0.11366245694603903
link6_sensor_2,link6,approach,175,163,0.9314285714285714,0.2392638036809816
link6_sensor_2,link6,pregrasp,685,680,0.9927007299270073,0.12058823529411765
link6_sensor_2,link6,grasp_lift,1986,1986,1.0,0.32225579053373615
link6_sensor_2,link6,transit,559,559,1.0,0.3076923076923077
link6_sensor_2,link6,place,698,674,0.9656160458452722,0.2522255192878338
