sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link5_sensor_5,link5,place,394,394,1.0,0.13451776649746192
link5_sensor_5,link5,post_place,1245,1245,1.0,0.10522088353413654
link5_sensor_5,link5,unknown,495,495,1.0,0.13333333333333333
link6_sensor_0,link6,approach,90,76,0.8444444444444444,0.07894736842105263
link6_sensor_0,link6,pregrasp,462,462,1.0,0.0021645021645021645
link6_sensor_0,link6,grasp_lift,838,838,1.0,0.0
link6_sensor_0,link6,transit,340,340,1.0,0.0
link6_sensor_0,link6,place,394,394,1.0,0.06852791878172589
link6_sensor_0,link6,post_place,1245,1245,1.0,0.016867469879518072
link6_sensor_0,link6,unknown,495,495,1.0,0.0
link6_sensor_1,link6,approach,90,76,0.8444444444444444,0.07894736842105263
link6_sensor_1,link6,pregrasp,462,462,1.0,0.0
link6_sensor_1,link6,grasp_lift,838,838,1.0,0.0
link6_sensor_1,link6,transit,340,340,1.0,0.0
link6_sensor_1,link6,place,394,394,1.0,0.06345177664974619
link6_sensor_1,link6,post_place,1245,1245,1.0,0.01606425702811245
link6_sensor_1,link6,unknown,495,495,1.0,0.0
link6_sensor_2,link6,approach,90,76,0.8444444444444444,0.14473684210526316
link6_sensor_2,link6,pregrasp,462,462,1.0,0.0021645021645021645
link6_sensor_2,link6,grasp_lift,838,838,1.0,0.0513126491646778
link6_sensor_2,link6,transit,340,340,1.0,0.0058823529411764705
link6_sensor_2,link6,place,394,394,1.0,0.1319796954314721
link6_sensor_2,link6,post_place,1245,1245,1.0,0.07550200803212852
link6_sensor_2,link6,unknown,495,495,1.0,0.06666666666666667
link6_sensor_3,link6,approach,90,76,0.8444444444444444,0.13157894736842105
link6_sensor_3,link6,pregrasp,462,462,1.0,0.10606060606060606
link6_sensor_3,link6,grasp_lift,838,838,1.0,0.06921241050119331
link6_sensor_3,link6,transit,340,340,1.0,0.08823529411764706
link6_sensor_3,link6,place,394,394,1.0,0.13451776649746192
link6_sensor_3,link6,post_place,1245,1245,1.0,0.163855421686747
link6_sensor_3,link6,unknown,495,495,1.0,0.2
link6_sensor_4,link6,approach,90,76,0.8444444444444444,0.13157894736842105
link6_sensor_4,link6,pregrasp,462,462,1.0,0.11904761904761904
link6_sensor_4,link6,grasp_lift,838,838,1.0,0.13126491646778043
link6_sensor_4,link6,transit,340,340,1.0,0.07058823529411765
link6_sensor_4,link6,place,394,394,1.0,0.13451776649746192
link6_sensor_4,link6,post_place,1245,1245,1.0,0.16546184738955824
link6_sensor_4,link6,unknown,495,495,1.0,0.2
link6_sensor_5,link6,approach,90,76,0.8444444444444444,0.14473684210526316
link6_sensor_5,link6,pregrasp,462,462,1.0,0.012987012987012988
link6_sensor_5,link6,grasp_lift,838,838,1.0,0.06443914081145585
link6_sensor_5,link6,transit,340,340,1.0,0.008823529411764706
link6_sensor_5,link6,place,394,394,1.0,0.1319796954314721
link6_sensor_5,link6,post_place,1245,1245,1.0,0.07951807228915662
link6_sensor_5,link6,unknown,495,495,1.0,0.06666666666666667
link6_sensor_6,link6,approach,90,76,0.8444444444444444,0.07894736842105263
