sensor_name,link,phase,n_frames,n_valid_frames,valid_frame_ratio,activation_lt_0_20m
link5_sensor_4,link5,unknown,495,495,1.0,0.0
link5_sensor_5,link5,approach,91,77,0.8461538461538461,0.06493506493506493
link5_sensor_5,link5,pregrasp,535,535,1.0,0.03177570093457944
link5_sensor_5,link5,grasp_lift,820,820,1.0,0.05853658536585366
link5_sensor_5,link5,transit,359,359,1.0,0.025069637883008356
link5_sensor_5,link5,place,385,385,1.0,0.06233766233766234
link5_sensor_5,link5,post_place,1245,1238,0.9943775100401606,0.020193861066235864
link5_sensor_5,link5,unknown,495,462,0.9333333333333333,0.0
link6_sensor_0,link6,approach,91,77,0.8461538461538461,0.012987012987012988
link6_sensor_0,link6,pregrasp,535,535,1.0,0.009345794392523364
link6_sensor_0,link6,grasp_lift,820,820,1.0,0.09024390243902439
link6_sensor_0,link6,transit,359,359,1.0,0.0
link6_sensor_0,link6,place,385,385,1.0,0.0
link6_sensor_0,link6,post_place,1245,1245,1.0,0.00642570281124498
link6_sensor_0,link6,unknown,495,495,1.0,0.06666666666666667
link6_sensor_1,link6,approach,91,77,0.8461538461538461,0.012987012987012988
link6_sensor_1,link6,pregrasp,535,535,1.0,0.007476635514018692
link6_sensor_1,link6,grasp_lift,820,820,1.0,0.18414634146341463
link6_sensor_1,link6,transit,359,359,1.0,0.033426183844011144
link6_sensor_1,link6,place,385,385,1.0,0.0
link6_sensor_1,link6,post_place,1245,1245,1.0,0.0
link6_sensor_1,link6,unknown,495,495,1.0,0.0
link6_sensor_2,link6,approach,91,77,0.8461538461538461,0.025974025974025976
link6_sensor_2,link6,pregrasp,535,535,1.0,0.024299065420560748
link6_sensor_2,link6,grasp_lift,820,820,1.0,0.1878048780487805
link6_sensor_2,link6,transit,359,359,1.0,0.036211699164345405
link6_sensor_2,link6,place,385,385,1.0,0.0
link6_sensor_2,link6,post_place,1245,1245,1.0,0.00963855421686747
link6_sensor_2,link6,unknown,495,495,1.0,0.0
link6_sensor_3,link6,approach,91,77,0.8461538461538461,0.06493506493506493
link6_sensor_3,link6,pregrasp,535,535,1.0,0.026168224299065422
link6_sensor_3,link6,grasp_lift,820,820,1.0,0.11829268292682926
link6_sensor_3,link6,transit,359,355,0.9888579387186629,0.0676056338028169
link6_sensor_3,link6,place,385,384,0.9974025974025974,0.06770833333333333
link6_sensor_3,link6,post_place,1245,1245,1.0,0.03132530120481928
link6_sensor_3,link6,unknown,495,495,1.0,0.0
link6_sensor_4,link6,approach,91,77,0.8461538461538461,0.07792207792207792
link6_sensor_4,link6,pregrasp,535,535,1.0,0.05420560747663551
link6_sensor_4,link6,grasp_lift,820,820,1.0,0.12926829268292683
link6_sensor_4,link6,transit,359,359,1.0,0.06406685236768803
link6_sensor_4,link6,place,385,385,1.0,0.06753246753246753
link6_sensor_4,link6,post_place,1245,1245,1.0,0.024899598393574297
link6_sensor_4,link6,unknown,495,495,1.0,0.0
link6_sensor_5,link6,approach,91,77,0.8461538461538461,0.09090909090909091
link6_sensor_5,link6,pregrasp,535,535,1.0,0.037383177570093455
link6_sensor_5,link6,grasp_lift,820,820,1.0,0.15121951219512195
link6_sensor_5,link6,transit,359,359,1.0,0.033426183844011144
link6_sensor_5,link6,place,385,385,1.0,0.04155844155844156
